block,task_id,family,n,comparator,budget,field,log_ratio,absolute_r_difference,rank_r,baseline_r,matched_seed_pairs
0,test_ba_100_00,ba,100,selected_regression,96,best_r,0.010256195913737358,0.0025208333333333285,0.255275,0.25275416666666667,6
0,test_ba_100_01,ba,100,selected_regression,96,best_r,0.0026077176034791753,0.0006708333333333242,0.26085833333333336,0.2601875,6
0,test_ba_100_02,ba,100,selected_regression,96,best_r,0.02096945143729087,0.004750000000000004,0.23146666666666668,0.22671666666666668,6
0,test_ba_100_03,ba,100,selected_regression,96,best_r,0.0376223187288884,0.008695833333333328,0.23652083333333337,0.22782500000000003,6
0,test_ba_100_04,ba,100,selected_regression,96,best_r,0.018614383048837113,0.004387499999999998,0.23957916666666668,0.23519166666666666,6
0,test_ba_100_05,ba,100,selected_regression,96,best_r,0.02240122786541594,0.005345833333333337,0.24100416666666666,0.23565833333333333,6
0,test_ba_100_06,ba,100,selected_regression,96,best_r,0.01933603242522244,0.004804166666666669,0.2520125,0.24720833333333336,6
0,test_ba_100_07,ba,100,selected_regression,96,best_r,0.02155613164799885,0.004549999999999994,0.2142625,0.2097125,6
0,test_ba_50_00,ba,50,selected_regression,96,best_r,0.009644680614694616,0.0023833333333333298,0.24728333333333333,0.2449,6
0,test_ba_50_01,ba,50,selected_regression,96,best_r,0.019150151514933208,0.005316666666666664,0.28075000000000006,0.27543333333333336,6
0,test_ba_50_02,ba,50,selected_regression,96,best_r,0.024353462780441093,0.0066833333333333285,0.27799999999999997,0.27131666666666665,6
0,test_ba_50_03,ba,50,selected_regression,96,best_r,0.041488289240313246,0.010916666666666667,0.26858333333333334,0.25766666666666665,6
0,test_ba_50_04,ba,50,selected_regression,96,best_r,0.031483497035452966,0.00796666666666665,0.2579166666666666,0.24995,6
0,test_ba_50_05,ba,50,selected_regression,96,best_r,0.05314543409683573,0.014833333333333356,0.28681666666666666,0.2719833333333333,6
0,test_ba_50_06,ba,50,selected_regression,96,best_r,0.028573952062832916,0.007783333333333327,0.2760333333333333,0.26824999999999993,6
0,test_ba_50_07,ba,50,selected_regression,96,best_r,0.019555395527457786,0.005150000000000006,0.26348333333333335,0.2583333333333333,6
0,test_er_100_00,er,100,selected_regression,96,best_r,0.003185023385935442,0.0010166666666666564,0.31973333333333337,0.3187166666666667,6
0,test_er_100_01,er,100,selected_regression,96,best_r,0.000798077825350199,0.0002666666666666558,0.32384583333333333,0.3235791666666667,6
