block,task_id,family,n,method,model_seed,search_seed,budget,best_r,fresh_r
0,test_ba_100_00,ba,100,ranknet,17,101,192,0.2654,0.26246875
0,test_ba_100_00,ba,100,ranknet,17,202,96,0.2547,0.249234375
0,test_ba_100_00,ba,100,ranknet,17,202,192,0.262375,0.2550625
0,test_ba_100_00,ba,100,ranknet,17,303,96,0.25515,0.25069375
0,test_ba_100_00,ba,100,ranknet,17,303,192,0.271075,0.26533125
0,test_ba_100_00,ba,100,ranknet,23,101,96,0.254425,0.25333125
0,test_ba_100_00,ba,100,ranknet,23,101,192,0.263325,0.261975
0,test_ba_100_00,ba,100,ranknet,23,202,96,0.25935,0.2566125
0,test_ba_100_00,ba,100,ranknet,23,202,192,0.2644,0.260890625
0,test_ba_100_00,ba,100,ranknet,23,303,96,0.251825,0.248609375
0,test_ba_100_00,ba,100,ranknet,23,303,192,0.2645,0.257659375
0,test_ba_100_01,ba,100,ea,-1,101,96,0.24845,0.2431
0,test_ba_100_01,ba,100,ea,-1,101,192,0.255,0.251321875
0,test_ba_100_01,ba,100,ea,-1,202,96,0.242575,0.2394875
0,test_ba_100_01,ba,100,ea,-1,202,192,0.25075,0.245128125
0,test_ba_100_01,ba,100,ea,-1,303,96,0.25775,0.249059375
0,test_ba_100_01,ba,100,ea,-1,303,192,0.2592,0.248471875
0,test_ba_100_01,ba,100,global_log_mse,17,101,96,0.2489,0.246328125
0,test_ba_100_01,ba,100,global_log_mse,17,101,192,0.2569,0.2497375
0,test_ba_100_01,ba,100,global_log_mse,17,202,96,0.25435,0.25299375
0,test_ba_100_01,ba,100,global_log_mse,17,202,192,0.2638,0.261246875
0,test_ba_100_01,ba,100,global_log_mse,17,303,96,0.260075,0.24936875
0,test_ba_100_01,ba,100,global_log_mse,17,303,192,0.2646,0.2574125
0,test_ba_100_01,ba,100,global_log_mse,23,101,96,0.247675,0.241065625
0,test_ba_100_01,ba,100,global_log_mse,23,101,192,0.267725,0.264184375
0,test_ba_100_01,ba,100,global_log_mse,23,202,96,0.25445,0.248309375
0,test_ba_100_01,ba,100,global_log_mse,23,202,192,0.26565,0.262959375
0,test_ba_100_01,ba,100,global_log_mse,23,303,96,0.25905,0.2520875
0,test_ba_100_01,ba,100,global_log_mse,23,303,192,0.270275,0.264409375
0,test_ba_100_01,ba,100,global_mse,17,101,96,0.24975,0.24543125
0,test_ba_100_01,ba,100,global_mse,17,101,192,0.266575,0.259828125
0,test_ba_100_01,ba,100,global_mse,17,202,96,0.245,0.240203125
0,test_ba_100_01,ba,100,global_mse,17,202,192,0.260475,0.252778125
0,test_ba_100_01,ba,100,global_mse,17,303,96,0.25415,0.246984375
0,test_ba_100_01,ba,100,global_mse,17,303,192,0.26705,0.2581375
0,test_ba_100_01,ba,100,global_mse,23,101,96,0.257625,0.250253125
0,test_ba_100_01,ba,100,global_mse,23,101,192,0.273675,0.262903125
0,test_ba_100_01,ba,100,global_mse,23,202,96,0.257675,0.2575125
0,test_ba_100_01,ba,100,global_mse,23,202,192,0.265075,0.260878125
0,test_ba_100_01,ba,100,global_mse,23,303,96,0.2635,0.25941875
0,test_ba_100_01,ba,100,global_mse,23,303,192,0.26885,0.259884375
0,test_ba_100_01,ba,100,hillclimb,-1,101,96,0.2607,0.251896875
0,test_ba_100_01,ba,100,hillclimb,-1,101,192,0.262925,0.252678125
0,test_ba_100_01,ba,100,hillclimb,-1,202,96,0.251875,0.245559375
0,test_ba_100_01,ba,100,hillclimb,-1,202,192,0.264425,0.259146875
0,test_ba_100_01,ba,100,hillclimb,-1,303,96,0.26655,0.25368125
0,test_ba_100_01,ba,100,hillclimb,-1,303,192,0.2727,0.26065
0,test_ba_100_01,ba,100,log_mse,17,101,96,0.258725,0.247053125
0,test_ba_100_01,ba,100,log_mse,17,101,192,0.271275,0.268153125
0,test_ba_100_01,ba,100,log_mse,17,202,96,0.2534,0.252203125
0,test_ba_100_01,ba,100,log_mse,17,202,192,0.2555,0.253790625
0,test_ba_100_01,ba,100,log_mse,17,303,96,0.257225,0.255175
0,test_ba_100_01,ba,100,log_mse,17,303,192,0.268925,0.259509375
0,test_ba_100_01,ba,100,log_mse,23,101,96,0.258525,0.252365625
0,test_ba_100_01,ba,100,log_mse,23,101,192,0.26715,0.259309375
0,test_ba_100_01,ba,100,log_mse,23,202,96,0.25655,0.250346875
0,test_ba_100_01,ba,100,log_mse,23,202,192,0.2603,0.258946875
0,test_ba_100_01,ba,100,log_mse,23,303,96,0.257675,0.25383125
0,test_ba_100_01,ba,100,log_mse,23,303,192,0.26515,0.259109375
0,test_ba_100_01,ba,100,mse,17,101,96,0.262125,0.25735
0,test_ba_100_01,ba,100,mse,17,101,192,0.270825,0.265603125
0,test_ba_100_01,ba,100,mse,17,202,96,0.25945,0.253234375
0,test_ba_100_01,ba,100,mse,17,202,192,0.264175,0.2567625
0,test_ba_100_01,ba,100,mse,17,303,96,0.256375,0.255321875
0,test_ba_100_01,ba,100,mse,17,303,192,0.259225,0.255296875
0,test_ba_100_01,ba,100,mse,23,101,96,0.26125,0.249525
0,test_ba_100_01,ba,100,mse,23,101,192,0.266875,0.26275
0,test_ba_100_01,ba,100,mse,23,202,96,0.26575,0.257375
0,test_ba_100_01,ba,100,mse,23,202,192,0.2708,0.269703125
0,test_ba_100_01,ba,100,mse,23,303,96,0.256175,0.250615625
0,test_ba_100_01,ba,100,mse,23,303,192,0.26815,0.260934375
0,test_ba_100_01,ba,100,pool_random,-1,101,96,0.252075,0.24489375
0,test_ba_100_01,ba,100,pool_random,-1,101,192,0.256425,0.246371875
0,test_ba_100_01,ba,100,pool_random,-1,202,96,0.245525,0.2410875
0,test_ba_100_01,ba,100,pool_random,-1,202,192,0.250775,0.249259375
0,test_ba_100_01,ba,100,pool_random,-1,303,96,0.252475,0.240446875
0,test_ba_100_01,ba,100,pool_random,-1,303,192,0.257725,0.24508125
0,test_ba_100_01,ba,100,random,-1,101,96,0.247675,0.241065625
0,test_ba_100_01,ba,100,random,-1,101,192,0.247675,0.241065625
0,test_ba_100_01,ba,100,random,-1,202,96,0.246375,0.244359375
0,test_ba_100_01,ba,100,random,-1,202,192,0.246375,0.244359375
0,test_ba_100_01,ba,100,random,-1,303,96,0.250325,0.241384375
0,test_ba_100_01,ba,100,random,-1,303,192,0.250325,0.241384375
0,test_ba_100_01,ba,100,ranknet,17,101,96,0.25985,0.25676875
0,test_ba_100_01,ba,100,ranknet,17,101,192,0.26705,0.261771875
0,test_ba_100_01,ba,100,ranknet,17,202,96,0.260725,0.255896875
0,test_ba_100_01,ba,100,ranknet,17,202,192,0.26665,0.2603625
0,test_ba_100_01,ba,100,ranknet,17,303,96,0.261825,0.254134375
0,test_ba_100_01,ba,100,ranknet,17,303,192,0.271575,0.2651625
0,test_ba_100_01,ba,100,ranknet,23,101,96,0.259675,0.25894375
0,test_ba_100_01,ba,100,ranknet,23,101,192,0.265825,0.263728125
0,test_ba_100_01,ba,100,ranknet,23,202,96,0.257275,0.25453125
0,test_ba_100_01,ba,100,ranknet,23,202,192,0.270725,0.26408125
0,test_ba_100_01,ba,100,ranknet,23,303,96,0.2658,0.25949375
0,test_ba_100_01,ba,100,ranknet,23,303,192,0.273225,0.2687
0,test_ba_100_02,ba,100,ea,-1,101,96,0.217225,0.208128125
0,test_ba_100_02,ba,100,ea,-1,101,192,0.2258,0.22166875
0,test_ba_100_02,ba,100,ea,-1,202,96,0.2124,0.2147625
0,test_ba_100_02,ba,100,ea,-1,202,192,0.21835,0.21458125
0,test_ba_100_02,ba,100,ea,-1,303,96,0.2161,0.21554375
0,test_ba_100_02,ba,100,ea,-1,303,192,0.221725,0.220190625
0,test_ba_100_02,ba,100,global_log_mse,17,101,96,0.22195,0.218934375
0,test_ba_100_02,ba,100,global_log_mse,17,101,192,0.24205,0.235375
0,test_ba_100_02,ba,100,global_log_mse,17,202,96,0.223525,0.225353125
0,test_ba_100_02,ba,100,global_log_mse,17,202,192,0.2383,0.234540625
0,test_ba_100_02,ba,100,global_log_mse,17,303,96,0.226375,0.2260875
0,test_ba_100_02,ba,100,global_log_mse,17,303,192,0.2352,0.231709375
0,test_ba_100_02,ba,100,global_log_mse,23,101,96,0.228175,0.225815625
0,test_ba_100_02,ba,100,global_log_mse,23,101,192,0.24425,0.241184375
0,test_ba_100_02,ba,100,global_log_mse,23,202,96,0.2269,0.226184375
0,test_ba_100_02,ba,100,global_log_mse,23,202,192,0.242,0.24056875
0,test_ba_100_02,ba,100,global_log_mse,23,303,96,0.23325,0.2274375
0,test_ba_100_02,ba,100,global_log_mse,23,303,192,0.23395,0.22855625
0,test_ba_100_02,ba,100,global_mse,17,101,96,0.229325,0.22400625
0,test_ba_100_02,ba,100,global_mse,17,101,192,0.239925,0.2378
0,test_ba_100_02,ba,100,global_mse,17,202,96,0.2274,0.229265625
0,test_ba_100_02,ba,100,global_mse,17,202,192,0.242425,0.24169375
0,test_ba_100_02,ba,100,global_mse,17,303,96,0.217625,0.217065625
0,test_ba_100_02,ba,100,global_mse,17,303,192,0.237775,0.2353
