loss,model_seed,selected_epoch,validation_log_regret,training_seconds,initial_weights_sha256,optimizer_steps,trainable_parameters,selection
mse,17,54,0.003361182873818317,179.43153319996782,b95ea2dff3403e151b714b0a4e8e943aa198e4f80ef0541f4ba1c2ea690b46f1,15360,8769,minimum validation task-mean log regret; earliest epoch on ties
log_mse,17,70,0.0009803584155693283,179.90434609999647,b95ea2dff3403e151b714b0a4e8e943aa198e4f80ef0541f4ba1c2ea690b46f1,15360,8769,minimum validation task-mean log regret; earliest epoch on ties
ranknet,17,12,0.0009803584155693283,187.5274422999937,b95ea2dff3403e151b714b0a4e8e943aa198e4f80ef0541f4ba1c2ea690b46f1,15360,8769,minimum validation task-mean log regret; earliest epoch on ties
mse,23,30,0.003361182873818317,180.37357950001024,96f0525f761999daf4a7b4ea75c890ee216665530f6dc5b4e4e803eb58478d32,15360,8769,minimum validation task-mean log regret; earliest epoch on ties
log_mse,23,43,0.003361182873818317,180.42540459998418,96f0525f761999daf4a7b4ea75c890ee216665530f6dc5b4e4e803eb58478d32,15360,8769,minimum validation task-mean log regret; earliest epoch on ties
ranknet,23,55,0.0009803584155693283,190.0687109999708,96f0525f761999daf4a7b4ea75c890ee216665530f6dc5b4e4e803eb58478d32,15360,8769,minimum validation task-mean log regret; earliest epoch on ties
mse,37,59,0.00713728011699724,184.65536209999118,156e1b5a0bc4f2c8c9baafb799083feebdb4603b97935bbce54efa9e9fea7d6a,15360,8769,minimum validation task-mean log regret; earliest epoch on ties
log_mse,37,74,0.006107806652701973,183.07496810000157,156e1b5a0bc4f2c8c9baafb799083feebdb4603b97935bbce54efa9e9fea7d6a,15360,8769,minimum validation task-mean log regret; earliest epoch on ties
ranknet,37,18,0.002380824458248989,187.2639917000197,156e1b5a0bc4f2c8c9baafb799083feebdb4603b97935bbce54efa9e9fea7d6a,15360,8769,minimum validation task-mean log regret; earliest epoch on ties
mse,53,56,0.003361182873818317,180.58258899999782,b126835be174eaa8c4903f6450fcf8e51cb586304648c411de8707d56983719f,15360,8769,minimum validation task-mean log regret; earliest epoch on ties
log_mse,53,53,0.008255874941123238,179.80092359997798,b126835be174eaa8c4903f6450fcf8e51cb586304648c411de8707d56983719f,15360,8769,minimum validation task-mean log regret; earliest epoch on ties
ranknet,53,14,0.0009803584155693283,188.34331840003142,b126835be174eaa8c4903f6450fcf8e51cb586304648c411de8707d56983719f,15360,8769,minimum validation task-mean log regret; earliest epoch on ties
mse,71,29,0.003361182873818317,181.2493506000028,b9bb15f49d2f7da2bc52f53be546c0532f8d64d3782e6573df1964a696f07a56,15360,8769,minimum validation task-mean log regret; earliest epoch on ties
log_mse,71,70,0.008117638532566569,180.51213669998106,b9bb15f49d2f7da2bc52f53be546c0532f8d64d3782e6573df1964a696f07a56,15360,8769,minimum validation task-mean log regret; earliest epoch on ties
ranknet,71,25,0.003726982194452984,187.99115920002805,b9bb15f49d2f7da2bc52f53be546c0532f8d64d3782e6573df1964a696f07a56,15360,8769,minimum validation task-mean log regret; earliest epoch on ties
